상가업소번호,상호명,상권업종중분류명,행정동명,경도,위도,기초지자체 방문자 비율,상권분류
MA010120220805947566,투다리충효,주점,선도동,129.1756452,35.84512389,2.0,로컬상권
MA010120220809117382,등뼈충효점,한식,선도동,129.1868293,35.84174008,2.0,로컬상권
MA010120220806887121,꽃단비,한식,산내면,129.0517757,35.6717813,1.0,로컬상권
MA010120220809129528,우여사김밥,기타 간이,동천동,129.225981,35.857546,2.1,로컬상권
MA010120220807396521,선주식당,한식,동천동,129.2252015,35.84946008,2.1,로컬상권
MA010120220808544046,강릉마약닭강정,비알코올 ,월성동,129.2691392,35.80209049,7.1,핫플레이스
MA010120220805475021,알마아타,서양식,성건동,129.2080672,35.85297502,3.3,로컬상권
MA010120220809127528,포항식당,한식,안강읍,129.1625791,36.01280065,3.2,로컬상권
MA010120220805646379,빠박이막창,한식,안강읍,129.1934532,36.00115711,3.2,로컬상권
MA010120220803080254,전통손칼국수,한식,성건동,129.2067435,35.84395286,3.3,로컬상권
MA010120220805286178,부엉순두부,한식,성건동,129.196239,35.850687,3.3,로컬상권
MA010120220811901998,해맞이회타운,한식,감포읍,129.4865938,35.74699813,4.5,로컬상권
MA010120220808251374,화수컴퍼니,주점,보덕동,129.2909001,35.83958401,12.9,핫플레이스
MA010120220804572803,시나본황리단길점,비알코올 ,황남동,129.2082263,35.8367623,10.7,핫플레이스
MA010120220814053657,우회전용황점,한식,용강동,129.2255625,35.88294502,1.6,로컬상권
MA010120220809129028,별카페,비알코올 ,황오동,129.216809,35.84297459,11.3,핫플레이스
MA010120220809130050,전통숯불,한식,산내면,129.0466518,35.75817513,1.0,로컬상권
MA010120220808600899,몽디왕갈비탕,한식,건천읍,129.1042747,35.85181985,7.6,핫플레이스
MA010120220809104536,돈짱,한식,동천동,129.2255742,35.85843655,2.1,로컬상권
MA010120220809104629,세왕다방,비알코올 ,성건동,129.2072713,35.8538096,3.3,로컬상권
MA010120220809102298,왕성떡집,기타 간이,황오동,129.2164803,35.84468363,11.3,핫플레이스
MA010120220808344488,고기서만나,한식,안강읍,129.196853,36.00299603,3.2,로컬상권
MA010120220808685276,호야횟집,한식,불국동,129.3102235,35.770195,6.1,핫플레이스
MA010120220802931649,유정장어,한식,선도동,129.1880358,35.84134868,2.0,로컬상권
MA010120220803183330,자가제빵선명희피자경주,기타 간이,동천동,129.2281095,35.84936112,2.1,로컬상권
MA010120220805117501,면백가,중식,용강동,129.2323586,35.88405326,1.6,로컬상권
MA010120220803782478,오늘,기타 간이,선도동,129.172794,35.84649103,2.0,로컬상권
MA010120220805173276,태산반점,중식,용강동,129.2264686,35.87773824,1.6,로컬상권
MA010120220811045180,달룡이마늘보쌈;왕족발,한식,성건동,129.2060836,35.85408372,3.3,로컬상권
MA010120220813603058,니드커피,비알코올 ,불국동,129.3023955,35.77708493,6.1,핫플레이스
MA010120220813191327,노벰버,비알코올 ,황남동,129.2092101,35.83513133,10.7,핫플레이스
MA010120220805240085,맛을담은쭈꾸미랑낙지랑,한식,외동읍,129.3293266,35.68136262,5.0,핫플레이스
MA010120220811229097,길손한정식,한식,외동읍,129.3149381,35.75739071,5.0,핫플레이스
MA010120220809108959,백년찻집,비알코올 ,문무대왕면,129.3619693,35.81215008,2.4,로컬상권
MA010120220809129337,깨비분식,기타 간이,황성동,129.2181334,35.85555573,3.2,로컬상권
MA010120220810301505,로보티머,비알코올 ,선도동,129.1857081,35.84403113,2.0,로컬상권
